left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
0,0.69,0.93,3,233,3,0,0,IT,MEDIUM
0,0.61,0.91,5,190,2,0,0,sales,LOW
0,0.77,0.55,3,217,3,0,0,support,MEDIUM
0,0.31,0.72,3,266,7,0,0,sales,LOW
0,0.55,0.57,3,266,2,0,0,technical,MEDIUM
0,0.33,0.61,2,163,3,0,0,technical,MEDIUM
0,0.42,0.96,6,173,3,0,0,sales,MEDIUM
0,0.58,0.61,4,210,3,0,0,sales,MEDIUM
0,0.21,0.65,3,183,3,0,0,technical,LOW
0,0.91,0.91,6,167,2,1,0,sales,LOW
0,0.66,0.89,3,242,3,0,0,product_mng,MEDIUM
0,0.71,0.76,3,246,3,0,0,hr,LOW
0,0.15,0.98,2,96,2,0,0,sales,HIGH
0,0.79,0.72,3,149,10,0,0,product_mng,LOW
0,0.64,0.67,4,252,3,1,0,sales,MEDIUM
0,0.19,0.72,3,167,5,0,0,sales,LOW
0,0.95,0.67,4,219,2,0,0,sales,MEDIUM
0,0.94,0.8,4,266,3,1,0,support,MEDIUM
0,0.89,0.77,5,232,3,0,0,sales,LOW
0,0.58,0.72,5,206,3,0,0,support,LOW
0,0.52,0.83,2,202,4,0,0,sales,MEDIUM
0,0.45,0.69,5,193,3,0,0,sales,LOW
0,0.85,0.9,3,245,3,0,0,marketing,MEDIUM
0,0.93,0.78,5,191,4,0,0,hr,MEDIUM
0,0.61,0.72,3,195,2,0,0,sales,MEDIUM
0,0.66,0.89,4,173,4,0,0,support,LOW
0,0.54,0.46,2,98,4,0,0,support,LOW
0,0.94,0.8,5,170,4,0,0,IT,HIGH
0,0.51,0.81,3,143,2,0,0,hr,LOW
0,0.99,0.57,4,216,3,0,0,sales,HIGH
0,0.76,0.79,3,161,3,0,0,technical,LOW
0,0.88,0.71,4,250,3,0,0,RandD,MEDIUM
0,0.58,0.72,4,257,3,0,0,sales,LOW
0,0.84,0.5,3,202,2,0,0,support,LOW
0,0.62,0.62,4,136,2,0,0,sales,MEDIUM
0,0.8,0.94,4,136,2,0,0,hr,MEDIUM
0,0.67,0.64,4,149,4,0,0,technical,LOW
0,0.61,0.9,6,217,6,1,0,marketing,MEDIUM
0,0.99,0.58,2,166,3,0,0,marketing,MEDIUM
0,0.82,0.52,5,270,3,0,0,technical,MEDIUM
0,0.6,0.62,5,165,2,0,0,sales,MEDIUM
0,0.88,0.58,5,213,4,0,0,hr,MEDIUM
0,0.61,0.61,3,271,2,0,0,hr,MEDIUM
0,0.97,0.93,2,160,6,0,0,technical,MEDIUM
0,0.76,0.81,4,193,3,1,0,accounting,LOW
0,0.83,0.55,5,261,5,0,0,sales,MEDIUM
0,0.8,0.58,5,202,3,0,0,sales,LOW
0,0.53,0.82,3,254,3,1,0,technical,LOW
0,0.56,0.88,3,174,3,0,0,hr,LOW
0,0.5,0.55,2,128,3,0,0,sales,LOW
0,0.73,0.57,3,146,2,0,0,product_mng,LOW
0,0.66,0.79,5,134,3,0,0,management,HIGH
0,0.83,0.64,4,210,3,0,0,management,MEDIUM
0,0.54,0.84,4,174,2,0,0,sales,MEDIUM
0,0.56,0.95,3,241,3,0,0,support,MEDIUM
0,0.58,0.5,4,202,3,0,0,support,HIGH
0,0.83,0.77,3,228,3,0,0,sales,MEDIUM
0,0.81,0.81,4,177,3,0,0,RandD,MEDIUM
0,0.5,0.49,4,222,3,0,0,management,HIGH
0,0.92,0.77,4,185,3,0,0,RandD,MEDIUM
0,0.66,0.69,5,202,6,0,0,sales,LOW
0,0.7,0.74,3,202,2,0,0,IT,MEDIUM
0,0.69,0.57,5,245,2,1,0,sales,LOW
0,0.77,0.68,3,98,3,0,0,support,MEDIUM
0,0.92,0.68,4,196,3,1,0,technical,LOW
0,0.63,0.85,2,156,3,1,0,hr,MEDIUM
0,0.13,0.74,6,202,4,1,0,technical,MEDIUM
0,0.73,0.51,4,249,5,0,0,IT,MEDIUM
